DATE;OTERMP03MO;OTERMP06MO;OTERMP01YR;OTERMP02YR;OTERMP03YR;OTERMP05YR;OTERMP07YR;OTERMP10YR
8.5.2016;-0.001734852;-0.003043076;-0.00508318;-0.00749701;-0.00852768;-0.00869765;-0.008043129;-0.00698257
8.8.2016;-0.001674273;-0.002998922;-0.00505195;-0.00744628;-0.00843995;-0.008561241;-0.00791512;-0.006920159
8.9.2016;-0.001693817;-0.00298992;-0.00501554;-0.00742741;-0.00847806;-0.00871151;-0.00813173;-0.00717198
8.10.2016;-0.001674459;-0.00296742;-0.00500338;-0.00746684;-0.00857583;-0.00889423;-0.00835666;-0.00742151
8.11.2016;-0.0017232;-0.003034077;-0.00507728;-0.00749711;-0.00854296;-0.00876537;-0.00817714;-0.00720294
8.12.2016;-0.001639126;-0.002964169;-0.00503712;-0.0075076;-0.0085919;-0.00887221;-0.00833866;-0.00743694
8.15.2016;-0.001694097;-0.003019843;-0.0050834;-0.00752321;-0.00857297;-0.00879073;-0.00819255;-0.00718288
8.16.2016;-0.001687589;-0.003012877;-0.00506916;-0.00747586;-0.00849416;-0.008674801;-0.00806641;-0.007046399
8.17.2016;-0.001701801;-0.003016602;-0.00505947;-0.00746304;-0.00849358;-0.00871237;-0.00813617;-0.00714481
8.18.2016;-0.001647478;-0.002985102;-0.00506094;-0.00749199;-0.00852209;-0.008717009;-0.00812355;-0.00712467
8.19.2016;-0.001690117;-0.003026219;-0.00508684;-0.00747511;-0.00846397;-0.00861286;-0.00800468;-0.00700232
8.22.2016;-0.00166227;-0.002996788;-0.00505801;-0.00745286;-0.00845476;-0.008641561;-0.0080773;-0.007137189
8.23.2016;-0.001772407;-0.003088518;-0.00513109;-0.00753107;-0.00856295;-0.008794661;-0.00822831;-0.00723964
8.24.2016;-0.001751056;-0.003065671;-0.00511602;-0.0075581;-0.00863637;-0.00893299;-0.008381;-0.00736388
8.25.2016;-0.001802538;-0.003117939;-0.00516011;-0.00756817;-0.00861624;-0.00887495;-0.00829443;-0.00721258
8.26.2016;-0.001824607;-0.003182866;-0.00526822;-0.00766918;-0.0086702;-0.00886491;-0.00828276;-0.007234881
8.29.2016;-0.001791251;-0.003159529;-0.00527183;-0.00773863;-0.0088041;-0.009097931;-0.00858417;-0.00760903
8.30.2016;-0.00176088;-0.003152954;-0.00528363;-0.00772297;-0.00872989;-0.00892742;-0.008375;-0.00739347
8.31.2016;-0.001654886;-0.00310926;-0.00531585;-0.00778965;-0.00876501;-0.0088957;-0.008348559;-0.00746943
9.1.2016;-0.001602059;-0.003064814;-0.00527515;-0.00773326;-0.00868598;-0.0087914;-0.008254801;-0.00741518
9.2.2016;-0.001704006;-0.003104338;-0.00524211;-0.00766472;-0.0086302;-0.00873767;-0.00813127;-0.00715041
9.6.2016;-0.001573238;-0.00298483;-0.00513445;-0.00756143;-0.0085228;-0.00863195;-0.00806291;-0.007166751
9.7.2016;-0.001605731;-0.002999298;-0.0051275;-0.0075467;-0.00852789;-0.008700019;-0.00818148;-0.00731615
9.8.2016;-0.001552136;-0.002958188;-0.00507777;-0.00741036;-0.00827648;-0.00825332;-0.007607361;-0.00662444
9.9.2016;-0.00134973;-0.002813494;-0.00497261;-0.0072305;-0.00796425;-0.00774334;-0.00701919;-0.00601054
9.12.2016;-0.001441995;-0.002796284;-0.00483282;-0.00705775;-0.00786004;-0.00776288;-0.00707009;-0.00603028
9.13.2016;-0.001439151;-0.002751685;-0.00472165;-0.00685248;-0.00758604;-0.00738194;-0.00660861;-0.00549978
9.14.2016;-0.001345812;-0.002643292;-0.00459655;-0.0067224;-0.00746699;-0.007290539;-0.00653648;-0.00543976
